ip,domain,numberOfPackets,totalMbSize,startTime,endTime,protocol
172.217.19.229,par21s11-in-f5.1e100.net,4,0.000754,1574956578.825918,1574956578.8274868,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.000178,1574956578.845315,1574956578.8463736,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.001849,1574956578.9445887,1574956578.9446375,tcp
172.217.19.229,par21s11-in-f5.1e100.net,10,0.002099,1574956578.9491932,1574956579.0270061,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.000552,1574956579.089206,1574956579.0938742,tcp
216.58.215.33,par21s17-in-f1.1e100.net,4,0.00026399999999999997,1574956490.7138407,1574956491.9296575,tcp
198.108.67.57,worker-18.sfj.corp.censys.io,2,0.000108,1574956490.8252695,1574956490.825369,tcp
216.58.204.97,par10s28-in-f97.1e100.net,2,0.00013199999999999998,1574956491.9141436,1574956491.9296813,tcp
216.58.209.228,par10s29-in-f228.1e100.net,10,0.0020940000000000004,1574956493.5748947,1574956494.2937176,tcp
216.58.204.133,par21s05-in-f5.1e100.net,8,0.0007769999999999999,1574956494.252735,1574956494.3338764,tcp
66.102.1.188,wb-in-f188.1e100.net,1,6.599999999999999e-05,1574956504.7108815,1574956504.7108815,tcp
184.105.247.247,scan-14m.shadowserver.org,2,0.000108,1574956506.2778807,1574956506.2779903,tcp
49.4.22.130,ecs-49-4-22-130.compute.hwclouds-dns.com,2,0.000112,1574956512.1176877,1574956512.1177585,tcp
216.58.213.138,par21s03-in-f138.1e100.net,1,6.599999999999999e-05,1574956517.0195737,1574956517.0195737,tcp
216.58.213.138,par21s03-in-f138.1e100.net,1,6.599999999999999e-05,1574956517.1146944,1574956517.1146944,tcp
216.58.213.138,par21s03-in-f138.1e100.net,7,0.0016790000000000002,1574956517.4261417,1574956517.5109813,tcp
216.58.204.133,par21s05-in-f5.1e100.net,3,0.00023299999999999997,1574956517.6181834,1574956517.6359468,tcp
216.58.213.170,par21s04-in-f170.1e100.net,2,0.000664,1574956518.2519233,1574956518.2678833,tcp
47.74.170.155,,2,0.000227,1574956540.028432,1574956540.1017287,tcp
216.58.213.170,par21s04-in-f170.1e100.net,7,0.0016610000000000004,1574956552.0516214,1574956552.2409418,tcp
95.86.34.46,,2,0.000112,1574956569.6531703,1574956569.6532576,tcp
188.128.39.127,,7,0.0005819999999999999,1574956571.3471632,1574956573.120449,tcp
172.217.19.229,par21s11-in-f5.1e100.net,1,0.000321,1574956579.1540034,1574956579.1540034,tcp
